Account,Expected Sign,Accounts.Account Title,AccountControl.Account Title,Classification,Narration,,,,,,,,,,
001/000,Cr,Descriptions,Descriptions,Unknown,Unknown,,,,,,,,,,
001/002,Cr,Sheep,Descriptions,Unknown,Unknown,,,,,,,,,,
001/003,Cr,Beef Cattle,Descriptions,Unknown,Unknown,,,,,,,,,,
001/004,Cr,Dairy Cattle,Descriptions,Unknown,Unknown,,,,,,,,,,
001/005,Cr,Deer,Descriptions,Unknown,Unknown,,,,,,,,,,
001/006,Cr,Pig,Descriptions,Unknown,Unknown,,,,,,,,,,
001/007,Cr,Goat,Descriptions,Unknown,Unknown,,,,,,,,,,
001/008,Cr,Horse - Breeding,Descriptions,Unknown,Unknown,,,,,,,,,,
001/009,Cr,Horse Racing,Descriptions,Unknown,Unknown,,,,,,,,,,
001/010,Cr,Spare Livestock,Descriptions,Unknown,Unknown,,,,,,,,,,
001/011,Cr,Spare Livestock,Descriptions,Unknown,Unknown,,,,,,,,,,
001/012,Cr,Herd Scheme,Descriptions,Unknown,Unknown,,,,,,,,,,
001/013,Cr,Herd Scheme,Descriptions,Unknown,Unknown,,,,,,,,,,
001/014,Cr,Herd Scheme,Descriptions,Unknown,Unknown,,,,,,,,,,
001/015,Cr,Herd Scheme,Descriptions,Unknown,Unknown,,,,,,,,,,
001/016,Cr,Herd Scheme,Descriptions,Unknown,Unknown,,,,,,,,,,
001/017,Cr,Herd Scheme,Descriptions,Unknown,Unknown,,,,,,,,,,
001/018,Cr,Herd Scheme,Descriptions,Unknown,Unknown,,,,,,,,,,
001/019,Cr,Herd Scheme,Descriptions,Unknown,Unknown,,,,,,,,,,
001/020,Cr,Herd Scheme,Descriptions,Unknown,Unknown,,,,,,,,,,
001/021,Cr,Herd Scheme,Descriptions,Unknown,Unknown,,,,,,,,,,
001/025,Cr,Changes in Numbers and Class,Descriptions,Unknown,Unknown,,,,,,,,,,
001/032,Cr,Herd Scheme,Descriptions,Unknown,Unknown,,,,,,,,,,
001/033,Cr,Herd Scheme,Descriptions,Unknown,Unknown,,,,,,,,,,
001/034,Cr,Herd Scheme,Descriptions,Unknown,Unknown,,,,,,,,,,
001/035,Cr,Herd Scheme,Descriptions,Unknown,Unknown,,,,,,,,,,
001/036,Cr,Herd Scheme,Descriptions,Unknown,Unknown,,,,,,,,,,
001/037,Cr,Herd Scheme,Descriptions,Unknown,Unknown,,,,,,,,,,
001/045,Cr,Dairy Trading Account,Descriptions,Unknown,Unknown,,,,,,,,,,
001/050,Cr,Further Payments,Descriptions,Unknown,Unknown,,,,,,,,,,
001/051,Cr,Expenses,Descriptions,Unknown,Unknown,,,,,,,,,,
001/060,Cr,Wool Trading Account,Descriptions,Unknown,Unknown,,,,,,,,,,
001/070,Cr,Revenue,Descriptions,Unknown,Unknown,,,,,,,,,,
001/071,Cr,Crop Account,Descriptions,Unknown,Unknown,,,,,,,,,,
001/072,Cr,Cropping Expense,Descriptions,Unknown,Unknown,,,,,,,,,,
001/080,Cr,Livestock Trading Revenue,Descriptions,Unknown,Unknown,,,,,,,,,,
001/090,Cr,Farm Trading Revenue,Descriptions,Unknown,Unknown,,,,,,,,,,
001/091,Cr,Sundry Farm Income,Descriptions,Unknown,Unknown,,,,,,,,,,
001/100,Cr,Income,Descriptions,Unknown,Unknown,,,,,,,,,,
001/101,Cr,Sales/Income,Descriptions,Unknown,Unknown,,,,,,,,,,
001/105,Cr,Cost of Goods Sold,Descriptions,Unknown,Unknown,,,,,,,,,,
001/110,Cr,Direct Expenses,Descriptions,Unknown,Unknown,,,,,,,,,,
001/112,Cr,Gross Surplus/Net Surplus,Descriptions,Unknown,Unknown,,,,,,,,,,
001/115,Cr,Expenses,Descriptions,Unknown,Unknown,,,,,,,,,,
001/120,Cr,Other Income,Descriptions,Unknown,Unknown,,,,,,,,,,
001/125,Cr,Rental,Descriptions,Unknown,Unknown,,,,,,,,,,
001/126,Cr,Net Rental Income,Descriptions,Unknown,Unknown,,,,,,,,,,
001/130,Cr,Owners Remuneration,Descriptions,Unknown,Unknown,,,,,,,,,,
001/131,Cr,LTC/LP Allocations,Descriptions,Unknown,Unknown,,,,,,,,,,
001/135,Cr,Adjustments,Descriptions,Unknown,Unknown,,,,,,,,,,
001/150,Cr,Equity,Descriptions,Unknown,Unknown,,,,,,,,,,
001/151,Cr,Share Capital,Descriptions,Unknown,Unknown,,,,,,,,,,
001/152,Cr,Shareholder/Trust/Members,Descriptions,Unknown,Unknown,,,,,,,,,,
001/153,Cr,Directors/Partners/Trustee/Proprietor/Members of the,Descriptions,Unknown,Unknown,,,,,,,,,,
001/154,Cr,Units,Descriptions,Unknown,Unknown,,,,,,,,,,
001/155,Cr,The (for adding in front of entity name in Independence part of Compilation Report),Descriptions,Unknown,Unknown,,,,,,,,,,
001/156,Cr,a Principal/two Principals/a staff member,Descriptions,Unknown,Unknown,,,,,,,,,,
001/157,Cr,he/she/they,Descriptions,Unknown,Unknown,,,,,,,,,,
001/160,Cr,Retained Earnings,Descriptions,Unknown,Unknown,,,,,,,,,,
001/199,Cr,the owners'/the JV partners',Descriptions,Unknown,Unknown,,,,,,,,,,
001/200,Cr,Company/Partnership/Trust/SoleTrader,Descriptions,Unknown,Unknown,,,,,,,,,,
001/201,Cr,Movements in Equity/Trust Funds,Descriptions,Unknown,Unknown,,,,,,,,,,
001/202,Cr,"Plant, Property and Equipment (Balance Sheet)",Descriptions,Unknown,Unknown,,,,,,,,,,
001/203,Cr,"Valuation of Plant, Property and Equipment (accounting policy)",Descriptions,Unknown,Unknown,,,,,,,,,,
001/210,Cr,Trustees Current Account,Descriptions,Unknown,Unknown,,,,,,,,,,
001/211,Cr,Shareholders/Limited Partners Current Accounts,Descriptions,Unknown,Unknown,,,,,,,,,,
001/212,Cr,Shareholders' Investment in Company,Descriptions,Unknown,Unknown,,,,,,,,,,
001/213,Cr,Equity/Limited Partner's Equity,Descriptions,Unknown,Unknown,,,,,,,,,,
001/301,Cr,Division 1,Descriptions,Unknown,Unknown,,,,,,,,,,
001/302,Cr,Division 2,Descriptions,Unknown,Unknown,,,,,,,,,,
001/400,Cr,Divisional Farm,Descriptions,Unknown,Unknown,,,,,,,,,,
001/901,Cr,Face Value,Descriptions,Unknown,Unknown,,,,,,,,,,
001/907,Cr,Imputation Credits,Descriptions,Unknown,Unknown,,,,,,,,,,
002/000,Cr,Sheep Sales,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/002,Cr,Lambs,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/004,Cr,Ewe Hoggets,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/006,Cr,Two Tooths,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/008,Cr,MA Ewes,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/010,Cr,R5yr and Older Ewes,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/012,Cr,Ram and Wether Lambs,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/014,Cr,Ram and Wether Hoggets,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/016,Cr,MA Wethers,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/020,Cr,Breeding Rams,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/030,Cr,Pool Payments,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/040,Cr,Bailed Sheep,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/098,Cr,Holding Gains,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/099,Cr,Sheep Revaluation,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
002/100,Cr,National Standard Cost,Sheep Sales,Income,Sheep Sales,,,,,,,,,,
